Czas[s],X[g],Y[g],Z[g]
0.8237,-1.0000,-1.0000,0.0000
0.8237,-1.0000,-1.0000,0.0000
0.8384,-1.0000,-1.0000,0.0000
0.8414,-1.0000,-1.0000,0.0000
0.8414,-1.0000,-1.0000,0.0000
0.8414,-1.0000,-1.0000,0.0000
0.8414,-1.0000,-1.0000,1.0000
0.8424,-1.0000,-1.0000,1.0000
0.8424,-1.0000,-1.0000,0.0000
0.8424,-1.0000,-1.0000,1.0000
0.8424,-1.0000,-1.0000,0.0000
0.8424,-1.0000,-1.0000,0.0000
0.8444,-1.0000,-1.0000,0.0000
0.8444,-1.0000,-1.0000,0.0000
0.8454,-1.0000,-1.0000,0.0000
0.8454,-1.0000,-1.0000,0.0000
0.8527,-1.0000,-1.0000,0.0000
0.8527,-1.0000,-1.0000,1.0000
0.8527,-1.0000,-1.0000,1.0000
0.8537,-1.0000,-1.0000,0.0000
0.8537,-1.0000,-1.0000,0.0000
0.8557,-3.0000,-1.0000,0.0000
0.8582,-1.0000,-1.0000,1.0000
0.8582,-1.0000,-1.0000,0.0000
0.8710,-1.0000,-1.0000,1.0000
0.8710,-1.0000,-1.0000,0.0000
0.8710,-1.0000,-1.0000,0.0000
0.8710,-1.0000,-1.0000,0.0000
0.8710,-1.0000,-1.0000,0.0000
0.8710,-1.0000,-1.0000,0.0000
0.8760,-1.0000,-1.0000,0.0000
0.8760,-1.0000,-1.0000,0.0000
0.8775,-1.0000,-3.0000,0.0000
0.8879,-1.0000,-1.0000,1.0000
0.8879,-1.0000,-1.0000,0.0000
0.8889,-1.0000,-3.0000,0.0000
0.8889,-1.0000,-3.0000,1.0000
0.8889,-1.0000,-1.0000,0.0000
0.8889,-3.0000,-1.0000,0.0000
0.8930,-1.0000,-3.0000,1.0000
0.8930,-1.0000,-1.0000,0.0000
0.8968,-1.0000,-1.0000,1.0000
0.9206,-1.0000,-1.0000,0.0000
0.9206,-1.0000,-1.0000,1.0000
0.9206,-1.0000,-1.0000,1.0000
0.9206,-1.0000,-3.0000,1.0000
0.9206,-1.0000,-1.0000,0.0000
0.9206,-1.0000,-3.0000,0.0000
0.9206,-1.0000,-1.0000,1.0000
0.9206,-1.0000,-3.0000,1.0000
0.9206,-1.0000,-1.0000,0.0000
0.9206,-1.0000,-3.0000,0.0000
0.9303,-1.0000,-1.0000,0.0000
0.9303,-3.0000,-1.0000,1.0000
0.9303,-1.0000,-3.0000,0.0000
0.9303,-1.0000,-3.0000,1.0000
0.9303,-1.0000,-1.0000,0.0000
0.9303,-1.0000,-1.0000,0.0000
0.9303,-1.0000,-1.0000,1.0000
0.9395,-1.0000,-3.0000,0.0000
0.9395,-1.0000,-3.0000,1.0000
0.9395,-1.0000,-1.0000,1.0000
0.9395,-1.0000,-1.0000,1.0000
0.9395,-1.0000,-3.0000,0.0000
0.9395,-1.0000,-1.0000,0.0000
0.9395,-1.0000,-1.0000,0.0000
0.9484,-1.0000,-1.0000,0.0000
0.9484,-1.0000,-1.0000,0.0000
0.9484,-1.0000,-1.0000,1.0000
0.9484,-1.0000,-1.0000,0.0000
0.9484,-1.0000,-1.0000,0.0000
0.9484,-1.0000,-1.0000,0.0000
0.9514,-1.0000,-1.0000,0.0000
0.9580,-3.0000,-3.0000,0.0000
0.9580,-3.0000,-3.0000,0.0000
0.9691,-1.0000,-1.0000,1.0000
0.9691,-1.0000,-1.0000,1.0000
0.9691,-1.0000,-3.0000,0.0000
0.9691,-1.0000,-1.0000,0.0000
0.9691,-1.0000,-3.0000,1.0000
0.9691,-1.0000,-1.0000,0.0000
0.9691,-1.0000,-1.0000,0.0000
0.9691,-1.0000,-1.0000,0.0000
0.9814,-1.0000,-3.0000,0.0000
0.9814,-1.0000,-1.0000,0.0000
0.9814,-1.0000,-1.0000,0.0000
0.9814,-1.0000,-3.0000,1.0000
0.9814,-1.0000,-3.0000,0.0000
0.9814,-1.0000,-1.0000,0.0000
0.9814,-1.0000,-1.0000,1.0000
0.9814,-1.0000,-3.0000,0.0000
0.9814,-1.0000,-1.0000,0.0000
0.9909,-1.0000,-1.0000,0.0000
0.9909,-1.0000,-1.0000,1.0000
0.9909,-3.0000,-1.0000,0.0000
0.9909,-1.0000,-1.0000,0.0000
0.9909,-1.0000,-3.0000,0.0000
0.9909,-1.0000,-3.0000,1.0000
0.9909,-1.0000,-1.0000,0.0000
0.9909,-1.0000,-1.0000,0.0000
0.9909,-1.0000,-3.0000,0.0000
0.9909,-1.0000,-3.0000,0.0000
0.9977,-1.0000,-3.0000,0.0000
0.9977,-1.0000,-1.0000,1.0000
0.9977,-1.0000,-1.0000,0.0000
0.9977,-1.0000,-1.0000,1.0000
0.9977,-1.0000,-1.0000,1.0000
1.0145,-1.0000,-3.0000,1.0000
